Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,10,4,0.04431221684606866,0.08065905420625061,0.05720005038741826,0.016429678323309868,0.05057326118305534,39.152838648403524,1.8781796928482724,0.09469373353876738,"{-1: 103, 0: 137, 1: 36, 2: 16, 3: 11}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,3.284252359058539,10,1,0.02708499366358078,0.016283008988863704,0.02033873677890229,0.022830131488043477,0.01736431402066759,14.149227108874735,3.508115360643415,0.16831242158013898,"{-1: 44, 0: 259}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,3.284252359058539,15,1,0.01667096020845045,0.011811279690447768,0.013826537128349277,0.019099262540794727,0.01102875956280251,17.41870469904593,3.4745890134606623,0.1568569550475317,"{-1: 58, 0: 245}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.39926335327789,10,5,0.08818076308135453,0.16134748943585123,0.11403714486184767,0.05462993016411859,0.10618651314464224,24.63166983647262,1.5919639898047642,-0.1227495590840064,"{-1: 163, 0: 81, 1: 24, 2: 10, 3: 15, 4: 10}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.39926335327789,5,3,0.02877037944543161,0.023879188672735276,0.026097586115871305,0.008671744844132353,0.017610028169988776,7.293427221816423,3.2185475029854778,-0.0949406307497864,"{-1: 41, 0: 251, 1: 5, 2: 6}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.39926335327789,15,1,0.12758428990784398,0.04819438878604033,0.06996123666986519,-0.004878336353218313,0.06663711854110321,13.89547997139398,1.3204040384444542,-0.07344446851737572,"{-1: 281, 0: 22}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.39926335327789,10,5,0.08818076308135453,0.16134748943585123,0.11403714486184767,0.05462993016411859,0.10618651314464224,24.63166983647262,1.5919639898047642,-0.1227495590840064,"{-1: 163, 0: 81, 1: 24, 2: 10, 3: 15, 4: 10}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,3.284252359058539,10,1,0.02708499366358078,0.016283008988863704,0.02033873677890229,0.022830131488043477,0.01736431402066759,14.149227108874735,3.508115360643415,0.16831242158013898,"{-1: 44, 0: 259}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,10,4,0.04431221684606866,0.08065905420625061,0.05720005038741826,0.016429678323309868,0.05057326118305534,39.152838648403524,1.8781796928482724,0.09469373353876738,"{-1: 103, 0: 137, 1: 36, 2: 16, 3: 11}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,15,3,0.04252661954632281,0.06675566557983578,0.0519552238388488,0.011004046140392803,0.046533798825534496,23.964537963895516,2.366024601803578,-0.04941048282061924,"{-1: 174, 0: 78, 1: 30, 2: 21}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,3.284252359058539,10,1,0.02708499366358078,0.016283008988863704,0.02033873677890229,0.022830131488043477,0.01736431402066759,14.149227108874735,3.508115360643415,0.16831242158013898,"{-1: 44, 0: 259}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,15,3,0.04252661954632281,0.06675566557983578,0.0519552238388488,0.011004046140392803,0.046533798825534496,23.964537963895516,2.366024601803578,-0.04941048282061924,"{-1: 174, 0: 78, 1: 30, 2: 21}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,10,4,0.04431221684606866,0.08065905420625061,0.05720005038741826,0.016429678323309868,0.05057326118305534,39.152838648403524,1.8781796928482724,0.09469373353876738,"{-1: 103, 0: 137, 1: 36, 2: 16, 3: 11}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,5,5,0.03078321534973665,0.036558169230438774,0.03342307269827095,0.028686337973380584,0.02176282707507599,15.88733697658877,3.015067085343176,0.0707150798217507,"{-1: 35, 0: 236, 1: 5, 2: 6, 3: 14, 4: 7}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
Standard,5,0.31058562035288,10,4,0.04431221684606866,0.08065905420625061,0.05720005038741826,0.016429678323309868,0.05057326118305534,39.152838648403524,1.8781796928482724,0.09469373353876738,"{-1: 103, 0: 137, 1: 36, 2: 16, 3: 11}"
Scaling,knn,eps,min points,n_cluster,homogeneity,completeness,v_measure,ari,ami,calinksi,bouldin,silhouette,sample
